time,deterioration rate,Pf_comp_0,Pf_comp_1,Pf_comp_2,Pf_comp_3,Pf_comp_4,Pf_comp_5,Pf_comp_6,Pf_comp_7,Pf_comp_8,Pf_comp_9,Pf_comp_10,Pf_system
1.0,0.048560430927814514,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.004991006998000036
2.0,0.13734964002559438,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.0,3e-06,0.0,0.002003,0.0049969830250028435
3.0,0.25232740081324145,0.0,0.0009999999999999998,0.0009999999999999998,1e-06,0.0,0.001001,0.0,0.0,8e-06,0.0,0.0020089999999999995,0.005009931004262835
4.0,0.3884834474225161,0.0,0.0009999999999999998,0.0009999999999999998,1e-06,0.0,0.001001,0.0,0.0,1.8e-05,0.0,0.0020189999999999995,0.005029850815132408
5.0,0.5429221228563822,0.0,0.001002,0.0010010000000000002,6e-06,0.0,0.001007,0.0,0.0,4.2e-05,1e-06,0.0020480000000000003,0.0050975749991646335
6.0,0.713689664776876,0.0,0.001004,0.001002,1.2e-05,0.0,0.001014,0.0,0.0,8e-05,2e-06,0.002092,0.005196168658621714
7.0,0.8993517665518871,0.0,0.0010069999999999999,0.001003,2.2e-05,1e-06,0.0010259999999999998,0.0,0.0,0.000132,4e-06,0.0021550000000000002,0.005339565293432047
8.0,1.098797120204755,0.0,0.0010099999999999998,0.0010040000000000001,3.7000000000000005e-05,2e-06,0.0010429999999999999,0.0,0.0,0.000192,6e-06,0.002231,0.005513813390990441
9.0,1.3111316350509918,1e-06,0.0010149999999999998,0.0010079999999999998,5.4000000000000005e-05,3e-06,0.0010579999999999997,0.0,0.0,0.000251,8.000000000000001e-06,0.0023020000000000002,0.0056880321275619705
10.0,1.5356156589117749,1e-06,0.0010270000000000001,0.001013,7.699999999999999e-05,5e-06,0.0010879999999999998,0.0,0.0,0.000356,1.5e-05,0.002432,0.006000586183449341
11.0,1.7716240195008377,1e-06,0.00104,0.001019,0.00010299999999999998,6e-06,0.0011209999999999998,0.0,0.0,0.00046199999999999995,2.2000000000000003e-05,0.0025649999999999996,0.0063240157725373836
12.0,2.0186192065059316,2e-06,0.001055,0.0010270000000000001,0.000133,9e-06,0.0011550000000000002,0.0,0.0,0.000551,2.9999999999999997e-05,0.002681,0.006626461199715883
13.0,2.2761326076952137,3e-06,0.001071,0.001035,0.00017499999999999997,1.3e-05,0.0012020000000000002,0.0,0.0,0.0006529999999999998,3.899999999999999e-05,0.002823,0.006995471510334417
14.0,2.543750931203761,3e-06,0.0011119999999999997,0.001054,0.00023399999999999997,1.6e-05,0.0012829999999999999,0.0,0.0,0.0007849999999999998,6.099999999999999e-05,0.0030169999999999997,0.007543301707322647
15.0,2.8211061040212178,3e-06,0.0011459999999999997,0.001071,0.00029099999999999997,1.6e-05,0.001357,0.0,0.0,0.0009159999999999999,7.799999999999999e-05,0.003205,0.008058122823114244
16.0,3.107867579380129,4.9999999999999996e-06,0.001223,0.001109,0.00038499999999999987,2.4999999999999998e-05,0.001484,0.0,0.0,0.0010749999999999998,0.00011899999999999998,0.0034549999999999993,0.008849716831622167
17.0,3.4037363609951274,8.999999999999999e-06,0.0013059999999999999,0.0011499999999999998,0.000493,4.2999999999999995e-05,0.0016309999999999996,0.0,9.999999999999997e-07,0.0012399999999999998,0.00016799999999999996,0.00373,0.009734041243682268
18.0,3.708440280691048,1.4e-05,0.001408,0.0011979999999999996,0.0006149999999999999,6.9e-05,0.0017919999999999995,0.0,9.999999999999997e-07,0.001401,0.00022699999999999996,0.0040089999999999995,0.010689037087973197
19.0,4.02173021031348,2.1e-05,0.0015189999999999997,0.0012569999999999997,0.0007389999999999999,9.099999999999999e-05,0.001956,0.0,2e-06,0.0015509999999999996,0.000289,0.004271,0.011642229754999733
20.0,4.3433769828510576,3.3e-05,0.0016479999999999995,0.0013299999999999998,0.0008939999999999998,0.00012399999999999998,0.002148999999999999,0.0,4e-06,0.0017219999999999998,0.00036299999999999993,0.004573999999999998,0.012775697160815391
21.0,4.673168860634078,6e-05,0.0018119999999999996,0.0014329999999999994,0.0010619999999999998,0.000174,0.002345999999999999,2e-06,8e-06,0.0018799999999999995,0.00045899999999999994,0.004851999999999998,0.014008645630759764
22.0,5.010909431608042,8.599999999999999e-05,0.0019679999999999993,0.0015319999999999997,0.0012289999999999996,0.00021999999999999998,0.002540999999999999,4e-06,1.1999999999999999e-05,0.0020339999999999994,0.0005499999999999998,0.005126999999999998,0.015208703773194165
23.0,5.356415844873044,0.00013199999999999998,0.002179999999999999,0.0016739999999999997,0.0014329999999999994,0.00028599999999999996,0.002786999999999999,9e-06,1.8e-05,0.0022129999999999993,0.0006819999999999998,0.0054649999999999985,0.016763328718052306
24.0,5.709517318215008,0.00018799999999999993,0.0024309999999999996,0.0018439999999999995,0.001642999999999999,0.00036799999999999995,0.003062999999999999,1.3e-05,2.9999999999999997e-05,0.002408999999999999,0.0008439999999999997,0.005825999999999998,0.018516522845973715
25.0,6.070053865976814,0.00025699999999999996,0.002752999999999999,0.0020599999999999993,0.0019209999999999993,0.0004839999999999999,0.0033689999999999987,1.8999999999999994e-05,3.9999999999999996e-05,0.0026059999999999994,0.0010369999999999995,0.006178999999999997,0.020547675735266613
26.0,6.43787520712442,0.0003609999999999999,0.0030639999999999986,0.002286999999999999,0.002204,0.0006169999999999997,0.0036529999999999987,3.399999999999999e-05,5.199999999999999e-05,0.002800999999999999,0.0012389999999999997,0.006538999999999998,0.02263379630124862
27.0,6.812839821957519,0.00048699999999999986,0.0033619999999999987,0.0025199999999999992,0.002453999999999999,0.0007719999999999998,0.003918999999999998,5.2999999999999994e-05,6.699999999999999e-05,0.0029839999999999992,0.0014609999999999994,0.006905999999999998,0.024723703071171665
28.0,7.194814132415097,0.0006519999999999998,0.0037249999999999983,0.002835999999999999,0.0027849999999999993,0.0009659999999999998,0.004230999999999998,7.199999999999997e-05,9.099999999999999e-05,0.003213999999999999,0.0017279999999999993,0.007326999999999998,0.027305454549161
29.0,7.583671785900828,0.0008299999999999997,0.004104999999999998,0.003134999999999999,0.0031199999999999986,0.001171,0.004540999999999998,9.999999999999998e-05,0.00011099999999999996,0.003434999999999999,0.0020039999999999993,0.007750999999999998,0.02991419535185058
30.0,7.97929302640066,0.0011199999999999995,0.004582999999999998,0.0035869999999999986,0.0035759999999999985,0.0014469999999999995,0.0048959999999999984,0.00013199999999999996,0.00013699999999999994,0.0037249999999999983,0.0023749999999999986,0.008323999999999996,0.03341276738112531
31.0,8.381564139670187,0.0014449999999999995,0.005060999999999999,0.004084999999999998,0.004040999999999999,0.0017459999999999993,0.005254999999999998,0.00017499999999999994,0.0001749999999999999,0.004042999999999999,0.002765999999999999,0.008908999999999995,0.037093352561791915
32.0,8.79037696163804,0.0018709999999999992,0.005616999999999998,0.004687999999999998,0.004573999999999998,0.0021279999999999992,0.005672999999999998,0.0002369999999999999,0.00022199999999999992,0.0044259999999999985,0.0032549999999999983,0.009645999999999997,0.04156787479941226
33.0,9.20562844105454,0.0023439999999999993,0.006176999999999998,0.005339999999999998,0.005136999999999998,0.0025149999999999994,0.006073999999999998,0.0003019999999999999,0.0002699999999999999,0.004819999999999999,0.0037709999999999987,0.010449999999999997,0.046241700820685794
34.0,9.627220248923509,0.0029169999999999995,0.006793999999999997,0.006031999999999998,0.005757999999999998,0.002956999999999999,0.006538999999999998,0.00037299999999999985,0.00032299999999999994,0.005290999999999999,0.0043539999999999985,0.011442999999999998,0.051580968026114005
35.0,10.055058428472707,0.003621999999999999,0.007513999999999997,0.006880999999999998,0.0065119999999999996,0.003464999999999999,0.007016999999999997,0.0004789999999999998,0.0003889999999999999,0.005815999999999997,0.005026999999999998,0.012517999999999996,0.057726432977916464
36.0,10.489053080407935,0.004452999999999998,0.008306999999999998,0.007856999999999998,0.0073529999999999976,0.004077999999999999,0.007611999999999998,0.0005879999999999998,0.00047299999999999984,0.0064709999999999985,0.005824999999999998,0.013875999999999994,0.0649626532584221
37.0,10.929118079005262,0.005512999999999999,0.009278999999999997,0.009057999999999997,0.008340999999999998,0.004783999999999998,0.008301999999999999,0.0007299999999999999,0.0005459999999999998,0.007227999999999998,0.006819999999999997,0.015634999999999996,0.07373091743481652
38.0,11.375170815261846,0.006619999999999998,0.010273999999999997,0.010318999999999997,0.009363999999999997,0.0055299999999999985,0.009032999999999998,0.0008679999999999997,0.0006319999999999999,0.008048999999999999,0.007837999999999998,0.017447999999999995,0.08279319148813558
39.0,11.827131963877047,0.008071999999999998,0.011495999999999996,0.011930999999999995,0.010657999999999997,0.006468999999999998,0.009949999999999999,0.0010479999999999999,0.0007859999999999998,0.009081999999999996,0.009195999999999998,0.019825999999999993,0.09434533325441496
40.0,12.284925271294199,0.009474999999999997,0.012679999999999997,0.013492999999999995,0.011907,0.007353999999999998,0.010838999999999998,0.0012219999999999996,0.0009319999999999997,0.010087999999999996,0.010507999999999997,0.022189999999999988,0.10543867422420672
41.0,12.748477362416986,0.010993999999999997,0.013953999999999994,0.015106999999999995,0.013147999999999995,0.008285999999999998,0.011813999999999996,0.0014,0.0010259999999999998,0.011161999999999995,0.011928999999999995,0.024849999999999994,0.11713806636760526
42.0,13.217717563936676,0.012853999999999994,0.015476999999999996,0.017049999999999996,0.014660999999999997,0.009422999999999996,0.013011999999999996,0.0016109999999999996,0.001169,0.012468999999999997,0.013669999999999995,0.028182999999999993,0.1312921600048368
43.0,13.692577742478562,0.015184999999999997,0.017397999999999997,0.019490999999999994,0.016691999999999995,0.010891999999999995,0.014527999999999998,0.0018419999999999995,0.0013869999999999993,0.014125999999999994,0.015834999999999995,0.03212999999999999,0.1487358877722127
44.0,14.172992156006702,0.01790799999999999,0.019683999999999997,0.02238099999999999,0.019056999999999998,0.012602999999999994,0.016294999999999994,0.0021119999999999997,0.0016379999999999993,0.016056999999999995,0.018313999999999997,0.03671499999999999,0.1687043070367188
45.0,14.65889731712232,0.020720999999999993,0.022007999999999996,0.02531499999999999,0.021492999999999995,0.014402999999999997,0.01813399999999999,0.002387999999999999,0.0019009999999999993,0.018055999999999992,0.02087799999999999,0.041470999999999994,0.18887903070059686
46.0,15.150231867059198,0.023419999999999993,0.02422999999999999,0.028085999999999993,0.023846999999999993,0.016056999999999995,0.01986299999999999,0.0026489999999999994,0.0021359999999999994,0.019947999999999994,0.023311999999999992,0.046021999999999987,0.20764380816741368
47.0,15.64693645932325,0.02721899999999999,0.02735299999999999,0.03200599999999999,0.02718299999999999,0.018593999999999996,0.02226999999999999,0.0029999999999999988,0.0024839999999999997,0.022563999999999994,0.026741999999999988,0.052057999999999986,0.23324802228624464
48.0,16.148953652047453,0.03104899999999999,0.030569999999999993,0.035975,0.030624999999999993,0.021239999999999995,0.02477599999999999,0.003353999999999999,0.002894999999999999,0.02524799999999999,0.030200999999999992,0.05810799999999998,0.258625281033252
49.0,16.656227808240377,0.035633999999999985,0.034499999999999996,0.04089199999999999,0.03468599999999999,0.024257999999999995,0.027640999999999992,0.003766999999999999,0.0032999999999999987,0.02831199999999999,0.034356999999999985,0.06498199999999998,0.2875068166228477
50.0,17.168705003199296,0.040699999999999986,0.03892799999999999,0.046274999999999976,0.03933899999999999,0.027800999999999992,0.031027999999999993,0.004243999999999999,0.003896999999999999,0.031889999999999995,0.038981999999999996,0.07283899999999999,0.3191700422735603
51.0,17.686332938439488,0.04550499999999998,0.04319999999999999,0.05133599999999998,0.04370999999999998,0.03141099999999999,0.034325999999999995,0.004738999999999998,0.004468999999999998,0.03535499999999999,0.043347999999999984,0.08012599999999998,0.34820871441349
52.0,18.20906086156171,0.05177299999999999,0.048398999999999984,0.05766699999999998,0.049411999999999984,0.03590199999999999,0.03836699999999999,0.005230999999999998,0.005102999999999997,0.039671999999999985,0.04899999999999999,0.08940499999999997,0.3832343059563562
53.0,18.736839491541218,0.06010999999999998,0.05577799999999999,0.06632099999999996,0.05740099999999998,0.04243399999999999,0.04413099999999998,0.0060779999999999975,0.006264999999999998,0.04562399999999998,0.05660899999999997,0.10128299999999997,0.4286530821252773
54.0,19.269620948975653,0.06736899999999996,0.062184999999999976,0.07370399999999998,0.06415899999999998,0.048351999999999985,0.049176999999999985,0.006791999999999998,0.007178999999999998,0.050870999999999986,0.06311599999999998,0.11161299999999998,0.46558416225700905
55.0,19.80735869087643,0.07690299999999999,0.07086199999999998,0.083461,0.07324299999999997,0.05656199999999999,0.05607899999999998,0.007993999999999998,0.008715999999999998,0.05789499999999998,0.07167099999999996,0.12461799999999996,0.511567410737354
56.0,20.350007449630088,0.08513099999999997,0.07822499999999996,0.09202499999999998,0.08106799999999996,0.06312299999999998,0.061720999999999984,0.008861999999999998,0.009912999999999996,0.06379199999999999,0.07904799999999998,0.13613599999999995,0.5479173068344045
57.0,20.89752317579284,0.09535999999999997,0.08788299999999996,0.10271099999999997,0.09100099999999996,0.07195499999999998,0.06920799999999998,0.010211999999999995,0.011639999999999998,0.07150399999999997,0.08830199999999995,0.14975299999999997,0.5906665313127901
58.0,21.44986298441428,0.10728099999999995,0.09903299999999995,0.11495099999999994,0.10253699999999996,0.08233499999999998,0.07795499999999995,0.011928999999999997,0.013754999999999995,0.08040799999999997,0.09909099999999994,0.16517199999999999,0.6356742228219634
59.0,22.006985104615133,0.11932799999999998,0.11038799999999997,0.12748699999999996,0.11410299999999998,0.09275399999999998,0.08672599999999996,0.013634999999999996,0.015750999999999994,0.08928799999999996,0.11006699999999996,0.1807619999999999,0.6765648549922858
60.0,22.568848832169742,0.13174599999999997,0.12230299999999997,0.14026699999999998,0.12618199999999996,0.10426499999999997,0.09611199999999996,0.015442999999999995,0.018017999999999992,0.09872499999999998,0.12128999999999995,0.19676399999999994,0.7149240338875844
61.0,23.1354144848669,0.146871,0.136817,0.15566399999999994,0.14092199999999996,0.11814299999999997,0.10777399999999997,0.018111999999999996,0.021130999999999994,0.11040999999999998,0.13499999999999995,0.2154119999999999,0.7561219479549228
62.0,23.706643360443124,0.16269999999999993,0.15254399999999999,0.17206499999999994,0.15645799999999999,0.13296899999999998,0.12032099999999996,0.02123299999999999,0.02465799999999999,0.12283499999999997,0.14949199999999999,0.23444499999999993,0.7939216385347949
63.0,24.282497696900954,0.17803699999999997,0.16758699999999993,0.18772899999999992,0.17146099999999997,0.14795099999999992,0.13259899999999994,0.024359999999999996,0.028347999999999988,0.13514199999999998,0.16342299999999993,0.25326499999999996,0.8256961027582865
64.0,24.86294063504103,0.19621199999999994,0.18593599999999996,0.20644999999999997,0.18963299999999997,0.165841,0.14824799999999996,0.029111999999999992,0.03366899999999999,0.15014799999999995,0.18036999999999992,0.27452099999999996,0.858257806053655
65.0,25.447936183051795,0.21497299999999991,0.20502599999999996,0.22586399999999993,0.20835299999999993,0.18438499999999994,0.16427699999999995,0.03401099999999999,0.03911299999999999,0.16553399999999996,0.19762299999999994,0.2965219999999999,0.8860233078026852
66.0,26.03744918301364,0.23462199999999991,0.22444799999999995,0.24576699999999993,0.22751799999999991,0.20334299999999994,0.18054899999999993,0.039597999999999994,0.04503999999999999,0.18152999999999994,0.21572499999999994,0.3190889999999999,0.9094945180482482
67.0,26.63144527918658,0.257478,0.24746299999999993,0.26883899999999994,0.2501359999999999,0.22599899999999992,0.20092399999999996,0.04767499999999998,0.05344699999999999,0.20115599999999995,0.23713199999999995,0.3441649999999999,0.9317349517035278
68.0,27.22989088796102,0.2786099999999999,0.26924799999999993,0.2904609999999999,0.2711059999999999,0.24708799999999995,0.21980599999999995,0.054686999999999986,0.06076599999999999,0.2193019999999999,0.25695699999999994,0.36728099999999986,0.9478102846212273
69.0,27.83275316936126,0.30314599999999997,0.2942679999999999,0.31522599999999984,0.2952709999999999,0.2720129999999999,0.24179399999999993,0.06389699999999998,0.07038999999999998,0.24082099999999995,0.27993199999999996,0.3939439999999999,0.9622326310835072
70.0,28.44,0.3313359999999999,0.32333599999999996,0.34388499999999983,0.32316999999999985,0.3008119999999999,0.2674669999999999,0.07488199999999996,0.08182999999999996,0.26555899999999993,0.3063149999999999,0.4244399999999998,0.9743674513029607
